MYCS,artist,song,ranking
2.376,The Weeknd,Blinding Lights,1
2.256,leann rimes,how do i live,2
2.244,Justin Bieber,Stay,3
2.224,Mariah Carey,All I Want for Christmas Is You,4
2.22,Harry Styles,As It Was,5
2.22,The Chainsmokers,Closer,6
2.22,Glass Animals,Heat Waves,7
2.172,santana featuring rob thomas,smooth,8
2.088,Ed Sheeran,Bad Habits,9
2.076,usher,you make me wanna,10
2.052,lmfao featuring lauren bennett and goonrock,party rock anthem,11
2.052,taylor swift,shake it off,12
2.04,Maroon 5,Girls Like You,13
2.028,bruno mars,just the way you are,14
2.028,the black eyed peas,i gotta feeling,15
2.016,jason mraz,im yours,16
2.016,coolio featuring lv,gangstas paradise,17
2.004,lorde,royals,18
1.992,meghan trainor,all about that bass,19
1.992,Olivia Rodrigo,Good 4 U,20
1.98,Lewis Capaldi,Someone You Loved,21
1.956,Morgan Wallen,You Proof,22
1.944,Lil Nas X,Industry Baby,23
1.944,kanye west featuring jamie foxx,gold digger,24
1.932,avicii,wake me up,25
1.92,Ariana Grande,Save Your Tears,26
1.908,Dua Lipa,Levitating,27
1.896,tag team,whoomp there it is,28
1.884,maroon 5 featuring christina aguilera,moves like jagger,29
1.884,Post Malone,Better Now,30
1.848,mary j blige,family affair,31
1.824,Billie Eilish,Bad Guy,32
1.812,the fray,how to save a life,33
1.812,Travis Scott,Sicko Mode,34
1.812,Iann Dior,Mood,35
1.7999999999999998,Zach Bryan,Something in the Orange,36
1.7999999999999998,Gabby Barrett,I Hope,37
1.788,boyz ii men,ill make love to you,38
1.788,taio cruz,dynamite,39
1.764,ti featuring rihanna,live your life,40
1.764,ti,whatever you like,41
1.752,maroon 5,one more night,42
1.752,mariah carey,fantasy,43
1.752,katy perry,roar,44
1.7400000000000002,Drake,No Guidance,45
1.74,queen,bohemian rhapsody,46
1.728,Justin Timberlake,Can't Stop the Feeling!,47
1.728,chris brown featuring juelz santana,run it,48
1.728,Young Thug,Go Crazy,49
1.716,3 doors down,kryptonite,50
1.716,Shawn Mendes,Señorita,51
1.704,ace of base,all that she wants,52
1.704,Juice Wrld,Lucid Dreams,53
1.704,imagine dragons,radioactive,54
1.6920000000000002,katy perry,hot n cold,55
1.6920000000000002,jay sean featuring lil wayne,down,56
1.692,Post Malone,Rockstar,57
1.68,Walker Hayes,Fancy Like,58
1.68,miley cyrus,wrecking ball,59
1.656,Post Malone,Circles,60
1.656,Doja Cat,Need to Know,61
1.644,blackstreet featuring dr dre,no diggity,62
1.62,milli vanilli,blame it on the rain,63
1.62,Steve Lacy,Bad Habit,64
1.62,adele,someone like you,65
1.608,celine dion,its all coming back to me now,66
1.608,taylor swift,you belong with me,67
1.608,faith hill,the way you love me,68
1.608,coldplay,viva la vida,69
1.608,sam smith,stay with me,70
1.608,Lizzo,Truth Hurts,71
1.608,onerepublic,counting stars,72
1.596,5 Seconds of Summer,Youngblood,73
1.596,pink,so what,74
1.596,real mccoy,another night,75
1.584,lmfao,sexy and i know it,76
1.572,timbaland featuring onerepublic,apologize,77
1.56,fun,some nights,78
1.56,Ed Sheeran,Shape of You,79
1.56,donna lewis,i love you always forever,80
1.56,adele,rolling in the deep,81
1.548,Imagine Dragons,Thunder,82
1.548,backstreet boys,quit playing games with my heart,83
1.536,meat loaf,id do anything for love but i wont do that,84
1.536,soulja boy tell em,crank that soulja boy,85
1.536,third eye blind,semicharmed life,86
1.5359999999999998,the black eyed peas,my humps,87
1.524,creed,with arms wide open,88
1.512,hinder,lips of an angel,89
1.512,Bad Bunny,I Like It,90
1.5,3 doors down,here without you,91
1.5,rihanna featuring calvin harris,we found love,92
1.4880000000000002,Portugal. The Man,Feel It Still,93
1.488,no mercy,where do you go,94
1.488,Cardi B,Bodak Yellow,95
1.488,usher and alicia keys,my boo,96
1.488,Daft Punk,Starboy,97
1.476,alicia keys,no one,98
1.476,Twenty One Pilots,Heathens,99
1.476,BTS,Dynamite,100
1.464,the lumineers,ho hey,101
1.452,nickelback,photograph,102
1.452,Pop Smoke,For the Night,103
1.452,lil jon  the east side boyz featuring ying yang twins,get low,104
1.452,beyonce featuring sean paul,baby boy,105
1.452,akon featuring eminem,smack that,106
1.44,fergie,big girls dont cry,107
1.428,los del r'io,macarena bayside boys mix,108
1.428,jayz and alicia keys,empire state of mind,109
1.404,toni braxton,unbreak my heart,110
1.404,imagine dragons,demons,111
1.392,Bailey Zimmerman,Rock and a Hard Place,112
1.392,Marshmello,Happier,113
1.392,janet jackson,again,114
1.392,taylor swift,love story,115
1.392,eric clapton,change the world,116
1.392,Drake,Laugh Now Cry Later,117
1.38,nelly,just a dream,118
1.38,justin timberlake featuring ti,my love,119
1.38,rihanna,only girl in the world,120
1.38,usher featuring pitbull,dj got us fallin in love,121
1.368,colbie caillat,bubbly,122
1.368,Doja Cat,You Right,123
1.356,jewel,foolish games  you were meant for me,124
1.356,drake featuring majid jordan,hold on were going home,125
1.344,owl city,fireflies,126
1.344,missy elliott,work it,127
1.344,snow patrol,chasing cars,128
1.332,eminem,lose yourself,129
1.32,katy perry,teenage dream,130
1.32,divine,lately,131
1.308,lonestar,amazed,132
1.308,DJ Snake,Let Me Love You,133
1.3079999999999998,the four seasons,december 1963 oh what a night,134
1.3079999999999998,rihanna,disturbia,135
1.296,pm dawn,id die without you,136
1.296,snoop dogg featuring pharrell,drop it like its hot,137
1.296,Halsey,Eastside,138
1.296,Tems,Wait for U,139
1.284,lifehouse,you and me,140
1.284,phillip phillips,home,141
1.2839999999999998,merril bainbridge,mouth,142
1.272,Doja Cat,Kiss Me More,143
1.272,maroon 5,she will be loved,144
1.272,miley cyrus,party in the usa,145
1.272,ludacris featuring shawnna,stand up,146
1.26,gym class heroes featuring adam levine,stereo hearts,147
1.2599999999999998,kevin rudolf featuring lil wayne,let it rock,148
1.224,Young Thug,Havana,149
1.224,snap,rhythm is a dancer,150
1.212,sheryl crow,all i wanna do,151
1.212,Doja Cat,I Like You (A Happier Song),152
1.212,kelly clarkson,breakaway,153
1.212,kings of leon,use somebody,154
1.2,psy,gangnam style,155
1.2,marc anthony,i need to know,156
1.2,brian mcknight,back at one,157
1.188,keith sweat,twisted,158
1.176,chumbawamba,tubthumping,159
1.176,Lil Yachty,Broccoli,160
1.164,somethin for the people featuring trina  tamara,my love is the shhh,161
1.14,destinys child,independent women,162
1.14,toni braxton,youre makin me high  let it flow,163
1.14,jessie j ariana grande and nicki minaj,bang bang,164
1.14,Khalid,Love Lies,165
1.128,iyaz,replay,166
1.128,maroon 5,animals,167
1.128,bon jovi,always,168
1.128,fall out boy,sugar were goin down,169
1.128,deborah cox,nobodys supposed to be here,170
1.116,tove lo,habits stay high,171
1.116,far east movement featuring the cataracs and dev,like a g6,172
1.116,ini kamoze,here comes the hotstepper,173
1.116,Imagine Dragons,Believer,174
1.116,Kim Petras,Unholy,175
1.092,Demi Lovato,Sorry Not Sorry,176
1.092,kelly clarkson,because of you,177
1.092,Lil Nas X,Panini,178
1.08,sister hazel,all for you,179
1.0799999999999998,m'ya,case of the ex,180
1.0799999999999998,chris brown featuring tpain,kiss kiss,181
1.068,janet jackson,runaway,182
1.056,youngbloodz featuring lil jon,damn,183
1.056,timbaland featuring keri hilson,the way i are,184
1.044,Logic,1-800-273-8255,185
1.044,sophie b hawkins,as i lay me down,186
1.044,sia,chandelier,187
1.032,neyo,miss independent,188
1.032,trey songz featuring nicki minaj,bottoms up,189
1.032,passenger,let her go,190
1.02,lady gaga,paparazzi,191
1.008,ginuwine,differences,192
1.008,kanye west,love lockdown,193
1.0,andy gibb,shadow dancing,194
1.0,dionne and friends dionne warwick gladys knight elton john and stevie wonder,thats what friends are for,195
1.0,Lil Nas X,Old Town Road,196
1.0,olivia newtonjohn,physical,197
1.0,barbra streisand,the way we were,198
1.0,the beatles,hey jude,199
1.0,flo rida featuring tpain,low,200
1.0,sam the sham and the pharaohs,wooly bully,201
1.0,the police,every breath you take,202
1.0,50 cent,in da club,203
1.0,gotye featuring kimbra,somebody that i used to know,204
1.0,prince,when doves cry,205
1.0,simon  garfunkel,bridge over troubled water,206
1.0,Justin Bieber,Love Yourself,207
1.0,the knack,my sharona,208
1.0,cher,believe,209
1.0,whitney houston,i will always love you,210
1.0,captain  tennille,love will keep us together,211
1.0,elton john,something about the way you look tonight  candle in the wind 1997,212
1.0,lifehouse,hanging by a moment,213
1.0,keha,tik tok,214
1.0,Morgan Wallen,Last Night,215
1.0,ace of base,the sign,216
1.0,mariah carey,we belong together,217
1.0,the black eyed peas,boom boom pow,218
1.0,next,too close,219
1.0,nickelback,how you remind me,220
1.0,bryan adams,everything i do i do it for you,221
1.0,ssgt barry sadler,ballad of the green berets,222
1.0,daniel powter,bad day,223
1.0,faith hill,breathe,224
1.0,george michael,faith,225
1.0,rod stewart,tonights the night gonna be alright,226
1.0,mark ronson featuring bruno mars,uptown funk,227
1.0,macklemore and ryan lewis featuring wanz,thrift shop,228
1.0,Drake,God's Plan,229
1.0,tony orlando and dawn,tie a yellow ribbon round the ole oak tree,230
1.0,beyonce,irreplaceable,231
1.0,wham featuring george michael,careless whisper,232
1.0,lulu,to sir with love,233
1.0,the archies,sugar sugar,234
1.0,three dog night,joy to the world,235
1.0,wings,silly love songs,236
1.0,pharrell williams,happy,237
1.0,wilson phillips,hold on,238
1.0,kim carnes,bette davis eyes,239
1.0,usher featuring lil jon and ludacris,yeah,240
1.0,roberta flack,the first time ever i saw your face,241
1.0,blondie,call me,242
1.0,the bangles,walk like an egyptian,243
1.0,chicago,look away,244
1.0,boyz ii men,end of the road,245
0.996,lee ann womack,i hope you dance,246
0.996,britney spears,womanizer,247
0.994,Brenda Lee,Rockin' Around the Christmas Tree,248
0.99,Miley Cyrus,Flowers,249
0.99,sir mixalot,baby got back,250
0.99,andy gibb,i just want to be your everything,251
0.99,rihanna featuring jayz,umbrella,252
0.99,pink floyd,another brick in the wall part ii,253
0.99,terry jacks,seasons in the sun,254
0.99,ed sheeran,thinking out loud,255
0.99,Ed Sheeran,Perfect,256
0.99,usher,burn,257
0.99,robin thicke featuring ti and pharrell williams,blurred lines,258
0.99,ashanti,foolish,259
0.99,madonna,like a virgin,260
0.99,leona lewis,bleeding love,261
0.99,donna summer,bad girls,262
0.99,lionel richie,say you say me,263
0.99,Luis Fonsi,Despacito (Remix),264
0.99,diana ross  lionel richie,endless love,265
0.99,survivor,eye of the tiger,266
0.99,jim croce,bad bad leroy brown,267
0.99,rod stewart,maggie mayreason to believe,268
0.99,alicia keys,fallin,269
0.99,inxs,need you tonight,270
0.99,lady antebellum,need you now,271
0.99,roxette,it must have been love,272
0.99,brandy and monica,the boy is mine,273
0.99,tlc,waterfalls,274
0.99,katy perry featuring juicy j,dark horse,275
0.99,bobby brown,my prerogative,276
0.99,mariah carey and boyz ii men,one sweet day,277
0.99,lady gaga,poker face,278
0.99,gwen stefani,hollaback girl,279
0.99,all4one,i swear,280
0.99,tina turner,whats love got to do with it,281
0.99,heart,alone,282
0.99,michael jackson,billie jean,283
0.99,color me badd,i wanna sex you up,284
0.99,the carpenters,they long to be close to you,285
0.99,Swae Lee,Sunflower,286
0.99,sean paul,temperature,287
0.99,the 5th dimension,aquariuslet the sunshine in,288
0.99,gilbert osullivan,alone again naturally,289
